Readable_Term,Label,Frequency
mudrocks,ROCHA,1
shallow,PALEOAMBIENTE,1
cobbles,ROCHA,1
baryte,ROCHA,1
paleocene,UNIDADE_CRONO,1
1seq1,POÇO,1
barravelhaformation,UNIDADE_LITO,1
carbonáticas,ROCHA,1
baciadecampos,BACIA,1
eoaptiano,UNIDADE_CRONO,1
formaçãoariri,UNIDADE_LITO,1
albiano,UNIDADE_CRONO,1
lequesaluviais,PALEOAMBIENTE,1
cretáceo,UNIDADE_CRONO,1
paleógeno,UNIDADE_CRONO,1
formaçãocamboriú,UNIDADE_LITO,1
andaraptiano,UNIDADE_CRONO,1
fluvio,PALEOAMBIENTE,1
ghost,ESTRUTURA_FISICA,1
tuffs,ROCHA,1
oil,FLUIDODATERRA,1
lapa,CAMPO,1
neocominian,UNIDADE_CRONO,1
slip,ESTRUTURA_FISICA,1
8buz,POÇO,1
sylvite,MINERAIS,1
neogene,UNIDADE_CRONO,1
eo,UNIDADE_CRONO,1
material,NAO_CONSOLID,1
berriasian,UNIDADE_CRONO,1
oceanic,PALEOAMBIENTE,1
brittle,ESTRUTURA_FISICA,1
tertiary,UNIDADE_CRONO,1
volcaniclastics,ROCHA,1
bve100,POÇO,1
collapse,ESTRUTURA_FISICA,1
volcanic,ROCHA,1
discordance,ESTRUTURA_FISICA,1
eoproterozoic,UNIDADE_CRONO,1
santosespıritosanto,BACIA,1
playalake,PALEOAMBIENTE,1
celestine,MINERAIS,1
silcretes,ROCHA,1
pãodeaçúcar,CAMPO,1
cenomanian,UNIDADE_CRONO,1
maastrichtian,UNIDADE_CRONO,1
danian,UNIDADE_CRONO,1
bindstone,ROCHA,1
sparstone,ROCHA,1
kwanzacongo,BACIA,1
gabon,BACIA,1
pelotasbasins,BACIA,1
packstonesgrainstones,ROCHA,1
wackestonespackstones,ROCHA,1
camposbas,BACIA,1
kwanzabasin,BACIA,1
aratu,UNIDADE_CRONO,1
candonacentroimpressa,FOSSEIS,1
cyprideis,FOSSEIS,1
brsa1159,POÇO,1
flint,ROCHA,1
chalks,ROCHA,1
travertinecarbonates,ROCHA,1
esp,BACIA,1
espiritosanto,BACIA,1
paranacampos,BACIA,1
pluvial,PALEOAMBIENTE,1
sphalerite,ROCHA,1
silurian,UNIDADE_CRONO,1
moldic,ESTRUTURA_FISICA,1
devonian,UNIDADE_CRONO,1
ordovician,UNIDADE_CRONO,1
permian,UNIDADE_CRONO,1
santoniancampanian,UNIDADE_CRONO,1
bitumen,MINERAIS,1
breccia,MINERAIS,1
camboriú,UNIDADE_LITO,1
fissure,ESTRUTURA_FISICA,1
fissureridge,ESTRUTURA_FISICA,1
aptianbarravelha,UNIDADE_CRONO,1
prealagoas,UNIDADE_CRONO,1
truncations,ESTRUTURA_FISICA,1
campossantos,BACIA,1
aptianalagoas,UNIDADE_CRONO,1
tithonian,UNIDADE_CRONO,1
jiquiáalagoas,UNIDADE_CRONO,1
paranábasin,BACIA,1
shrubs,ROCHA,1
