Entidade,Rótulo,Contagem,Score Médio
folhelhos,ROCHA,5,"0,9999"
anidrita,ROCHA,5,"0,9867"
siliciclastics,ROCHA,4,"0,6840"
cyanobacteria,FOSSEIS,4,"0,7868"
Neocomian,UNIDADE_CRONO,4,"0,8868"
Phanerozoic,UNIDADE_CRONO,4,"0,9993"
talc,MINERAIS,4,"0,6508"
Claystones,ROCHA,4,"0,8782"
chalcedony,MINERAIS,4,"0,6954"
fluvial,PALEOAMBIENTE,4,"0,7140"
Buracica,UNIDADE_CRONO,4,"0,8605"
deltas,PALEOAMBIENTE,4,"0,7552"
muscovite,MINERAIS,4,"0,6976"
claystone,ROCHA,4,"0,7464"
Neobarremian,UNIDADE_CRONO,4,"0,9470"
calcimudstones,ROCHA,4,"0,5641"
Carbonate,ROCHA,4,"0,6464"
Salta,BACIA,4,"0,6627"
FmBarraVelha,UNIDADE_LITO,4,"0,9107"
Laminitos,ROCHA,4,"0,9990"
shrubby,ESTRUTURA_FISICA,3,"0,5284"
deltaic,PALEOAMBIENTE,3,"0,9595"
SergipeAlagoasBasin,BACIA,3,"0,9220"
mud,ROCHA,3,"0,8156"
algae,FOSSEIS,3,"0,6147"
marls,NAO_CONSOLID,3,"0,5331"
Paleoproterozoic,UNIDADE_CRONO,3,"0,9113"
Paraná,BACIA,3,"0,7244"
Retiro,UNIDADE_LITO,3,"0,6203"
Tethyan,UNIDADE_CRONO,3,"0,7535"
Neoaptian,UNIDADE_CRONO,3,"0,9710"
Coquinas,ROCHA,3,"0,9760"
Ariri,UNIDADE_LITO,3,"0,5588"
mollusks,FOSSEIS,3,"0,9811"
gastropod,FOSSEIS,3,"0,6019"
Arenites,ROCHA,3,"0,8499"
Packstones,ROCHA,3,"0,9706"
aragonite,MINERAIS,3,"0,5896"
calcretes,ROCHA,3,"0,9138"
Turonian,UNIDADE_CRONO,3,"0,8351"
cementstone,ROCHA,3,"0,6697"
Calcarenite,ROCHA,3,"0,8861"
magma,ROCHA,3,"0,9278"
intraclastic,FOSSEIS,3,"0,7216"
Wackestone,ROCHA,3,"0,8171"
Palaeoproterozoic,UNIDADE_CRONO,3,"0,8191"
Santo,BACIA,3,"0,9584"
mollusc,FOSSEIS,3,"0,9802"
Pleistocene,UNIDADE_CRONO,3,"0,9853"
dolomites,ROCHA,3,"0,9298"
Mudstones,ROCHA,3,"0,7990"
Carbonates,ROCHA,3,"0,5754"
Mesozoic,UNIDADE_CRONO,3,"0,9993"
failure,ESTRUTURA_FISICA,3,"0,6928"
laminite,ROCHA,3,"0,6150"
gravel,NAO_CONSOLID,3,"0,7406"
Paleozoic,UNIDADE_CRONO,3,"0,9986"
Santonian,UNIDADE_CRONO,3,"0,8582"
Campanian,UNIDADE_CRONO,3,"0,6782"
Arenite,ROCHA,3,"0,7980"
carbonatemounds,ROCHA,3,"0,5700"
ripples,ESTRUTURA_FISICA,3,"0,8699"
Eocretáceo,UNIDADE_CRONO,3,"0,9997"
halita,ROCHA,3,"0,9956"
arenitos,ROCHA,3,"0,9994"
pelitos,ROCHA,3,"0,9013"
discordância,ESTRUTURA_FISICA,3,"0,8563"
Discordância,ESTRUTURA_FISICA,3,"0,9645"
evaporitos,ROCHA,3,"0,9992"
FormaçãoItapema,UNIDADE_LITO,3,"0,9992"
siltstone,ROCHA,3,"0,9575"
bioturbation,ESTRUTURA_FISICA,2,"0,7571"
Epinephelus,FOSSEIS,2,"0,8971"
sandstone,ROCHA,2,"0,7536"
Açu,UNIDADE_LITO,2,"0,5954"
Eodanian,UNIDADE_CRONO,2,"0,9900"
depressions,ESTRUTURA_FISICA,2,"0,6140"
diamictites,ROCHA,2,"0,9997"
clay,NAO_CONSOLID,2,"0,4595"
Oligocene,UNIDADE_CRONO,2,"0,9743"
mollusk,FOSSEIS,2,"0,9423"
SantosBasins,BACIA,2,"0,7442"
SergipeAlagoas,BACIA,2,"0,9938"
scarps,ESTRUTURA_FISICA,2,"0,8965"
scarp,ESTRUTURA_FISICA,2,"0,7659"
paleoproterozoic,UNIDADE_CRONO,2,"0,7175"
Packstone,ROCHA,2,"0,7510"
scar,ESTRUTURA_FISICA,2,"0,8814"
granites,ROCHA,2,"0,9958"
Pelecypoda,FOSSEIS,2,"0,6646"
ostracodes,FOSSEIS,2,"0,9985"
shell,FOSSEIS,2,"0,5323"
Macabu,UNIDADE_LITO,2,"0,5062"
ooid,NAO_CONSOLID,2,"0,9268"
bioclasts,FOSSEIS,2,"0,5731"
Gastropod,FOSSEIS,2,"0,8329"
Quaternary,UNIDADE_CRONO,2,"0,9819"
miliolid,MINERAIS,2,"0,7523"
crustone,ROCHA,2,"0,8246"
fractures,ESTRUTURA_FISICA,2,"0,5465"
dolomudstone,ROCHA,2,"0,6286"
dolomud,ROCHA,2,"0,7734"
Hauterevian,UNIDADE_CRONO,2,"0,8254"
2ANP1,POÇO,2,"0,7328"
BRSA1053,POÇO,2,"0,6743"
karst,ROCHA,2,"0,5809"
Shrubstones,ROCHA,2,"0,7946"
FormationSantos,UNIDADE_LITO,2,"0,7716"
Formation,UNIDADE_LITO,2,"0,7127"
Archean,UNIDADE_CRONO,2,"0,7931"
granitoids,ROCHA,2,"0,7647"
Namibe,BACIA,2,"0,8043"
floatstone,ROCHA,2,"0,7600"
KwanzaBasins,BACIA,2,"0,8351"
mudrocks,ROCHA,2,"0,9584"
Pyrite,ROCHA,2,"0,7108"
dolostones,ROCHA,2,"0,8101"
Dolomite,ROCHA,2,"0,6312"
shallow,PALEOAMBIENTE,2,"0,5693"
cobbles,ROCHA,2,"0,9559"
Baryte,ROCHA,2,"0,6413"
Marinha,PALEOAMBIENTE,2,"0,6011"
Paleocene,UNIDADE_CRONO,2,"0,9974"
1SEQ1,POÇO,2,"0,7696"
BarraVelhaFormation,UNIDADE_LITO,2,"0,9971"
carbonáticas,ROCHA,2,"0,4074"
BaciadeCampos,BACIA,2,"0,9997"
Eoaptiano,UNIDADE_CRONO,2,"0,9989"
argilas,NAO_CONSOLID,2,"0,9996"
marinha,FLUIDODATERRA,2,"0,5496"
FormaçãoAriri,UNIDADE_LITO,2,"0,9905"
Albiano,UNIDADE_CRONO,2,"0,9999"
lequesaluviais,PALEOAMBIENTE,2,"0,8438"
Cretáceo,UNIDADE_CRONO,2,"0,9868"
Paleógeno,UNIDADE_CRONO,2,"0,9314"
esferulitos,ROCHA,2,"0,8815"
FormaçãoCamboriú,UNIDADE_LITO,2,"0,9998"
Esferulitos,ROCHA,2,"0,9228"
AndarAptiano,UNIDADE_CRONO,2,"0,9920"
Peloids,NAO_CONSOLID,2,"0,5267"
Ooids,NAO_CONSOLID,2,"0,7401"
siltite,ROCHA,2,"0,5771"
fluvio,PALEOAMBIENTE,1,"0,7098"
Limestones,ROCHA,1,"0,7103"
ghost,ESTRUTURA_FISICA,1,"0,7953"
contacts,ESTRUTURA_FISICA,1,"0,5101"
tuffs,ROCHA,1,"0,8237"
oil,FLUIDODATERRA,1,"0,5058"
Lapa,CAMPO,1,"0,4610"
Neocominian,UNIDADE_CRONO,1,"0,9959"
Guaruja,UNIDADE_LITO,1,"0,6022"
